preco_venda,area_util,quartos,suites,vagas,valor_condominio,valor_iptu,bairro_quadra,tipo_imovel,qtd_comodidades
1390000.0,510.0,5.0,5,4,815.0,4170.0,4,1,5
1290000.0,300.0,4.0,1,4,815.0,3870.0,4,1,0
1980000.0,500.0,4.0,3,4,760.0,5940.0,4,1,2
990000.0,400.0,4.0,2,3,800.0,1804.0,4,1,1
1590000.0,410.0,4.0,4,2,750.0,4770.0,4,1,0
1490000.0,400.0,4.0,4,4,800.0,2200.0,4,1,7
1590000.0,800.0,4.0,4,6,800.0,4770.0,4,1,9
1690000.0,500.0,5.0,5,4,1075.0,5070.0,4,1,2
2490000.0,450.0,5.0,3,6,1400.0,7470.0,4,1,0
3125000.0,660.0,4.0,4,10,1200.0,3000.0,4,1,17
1395000.0,370.0,4.0,3,2,560.0,213.0,4,1,2
1550000.0,417.03,4.0,4,0,700.0,2358.0,4,1,4
1080000.0,500.0,4.0,2,2,700.0,2000.0,4,1,7
1950000.0,360.0,4.0,1,2,1100.0,2000.0,4,1,14
1350000.0,373.0,4.0,1,8,845.0,171.0,4,1,7
1650000.0,367.0,4.0,1,3,600.0,4950.0,4,1,0
1600000.0,380.0,5.0,5,4,909.0,2021.0,4,1,3
1590000.0,400.0,4.0,4,2,865.0,1476.0,4,1,1
650000.0,355.0,4.0,2,2,815.0,1452.0,4,1,3
2250000.0,490.0,4.0,2,3,815.0,1860.0,4,1,20
1390000.0,503.0,5.0,5,2,1075.0,4170.0,4,1,1
979000.0,360.0,4.0,3,3,880.0,1430.0,4,1,4
1490000.0,400.0,5.0,4,2,800.0,2200.0,4,1,7
1490000.0,400.0,4.0,4,8,800.0,4470.0,4,1,5
1490000.0,400.0,4.0,4,2,800.0,4470.0,4,1,0
1300000.0,477.0,5.0,1,2,900.0,1746.0,4,1,2
1400000.0,475.66,4.0,4,2,1125.0,1634.0,4,1,3
2250000.0,432.0,4.0,2,2,800.0,1770.0,4,1,1
1550000.0,410.0,4.0,2,4,815.0,4650.0,4,1,6
1490000.0,400.0,4.0,4,4,800.0,2200.0,4,1,16
1490000.0,400.0,4.0,4,2,800.0,4470.0,4,1,21
2480000.0,420.0,5.0,2,4,885.0,7440.0,4,1,0
2797000.0,350.0,4.0,4,0,1000.0,8391.0,4,1,2
1100000.0,200.0,4.0,2,4,395.0,3300.0,4,1,4
1100000.0,200.0,4.0,2,2,500.0,3300.0,4,1,11
650000.0,200.0,5.0,1,2,460.0,900.0,4,1,13
648000.0,200.0,4.0,1,4,360.0,1944.0,4,1,11
1890000.0,400.0,7.0,4,2,540.0,5670.0,4,1,7
895000.0,375.0,4.0,2,6,464.0,700.0,4,1,4
2100000.0,400.0,4.0,3,3,400.0,6300.0,4,1,18
1200000.0,300.0,7.0,6,4,505.0,506.0,4,1,3
2550000.0,600.0,4.0,4,5,430.0,1409.0,4,1,8
1290000.0,440.0,4.0,4,5,601.0,1704.0,4,1,12
1800000.0,450.0,4.0,4,0,783.0,600.0,4,1,3
2100000.0,600.0,4.0,4,6,550.0,6300.0,4,1,7
1650000.0,230.0,4.0,3,2,1000.0,1200.0,4,1,0
2590000.0,400.0,4.0,1,2,584.0,2068.0,4,1,0
2200000.0,480.0,5.0,5,6,1400.0,6600.0,4,1,0
3100000.0,500.0,4.0,4,4,750.0,245.0,4,1,10
2500000.0,379.0,4.0,4,4,600.0,2000.0,4,1,0
2498000.0,520.0,5.0,4,4,750.0,1200.0,4,1,16
1390000.0,400.0,5.0,3,2,1000.0,1600.0,4,1,1
1290000.0,355.0,4.0,4,6,850.0,1584.0,4,1,15
1290000.0,355.0,4.0,4,4,850.0,1584.0,4,1,15
750000.0,300.0,4.0,2,2,700.0,2250.0,4,1,12
2411000.0,452.0,5.0,5,2,738.0,1558.0,4,1,5
1350000.0,450.0,5.0,3,4,732.0,1614.0,4,1,5
1780000.0,295.0,4.0,4,4,610.0,1600.0,4,1,2
2100000.0,395.0,5.0,5,2,790.0,6300.0,4,1,10
1490000.0,233.0,4.0,3,4,622.0,7278.0,4,1,4
2590000.0,400.0,5.0,1,2,550.0,2376.0,4,1,1
950000.0,300.0,4.0,1,3,1.0,2850.0,4,1,11
1370000.0,492.0,4.0,1,3,460.0,81.0,4,1,2
1800000.0,450.0,4.0,4,4,480.0,30.0,4,1,1
1590000.0,340.0,4.0,1,4,500.0,4770.0,4,1,19
2990000.0,450.0,4.0,3,2,700.0,770.0,4,1,20
2990000.0,420.0,4.0,3,4,780.0,770.0,4,1,21
3700000.0,500.0,4.0,4,4,875.0,11100.0,4,1,20
2990000.0,450.0,4.0,3,4,780.0,2000.0,4,1,15
3390000.0,550.0,4.0,4,4,700.0,10170.0,4,1,19
2600000.0,405.0,4.0,4,5,875.0,2580.0,4,1,23
3390000.0,517.69,4.0,4,6,788.0,10170.0,4,1,9
1990000.0,320.0,5.0,3,2,680.0,5970.0,4,1,0
3700000.0,525.0,5.0,4,5,885.0,11100.0,4,1,16
3100000.0,467.99,4.0,4,0,885.0,1981.0,4,1,10
2590000.0,400.0,4.0,4,4,950.0,350.0,4,1,12
1330000.0,400.0,4.0,3,3,600.0,1400.0,4,1,0
950000.0,160.0,4.0,1,4,600.0,2850.0,4,1,14
1370000.0,583.0,4.0,1,3,584.0,4110.0,4,1,0
2550000.0,660.0,4.0,4,3,550.0,7650.0,4,1,13
890000.0,200.0,4.0,2,0,601.0,1000.0,4,1,4
1790000.0,350.0,6.0,4,6,600.0,12000.0,4,1,4
1370000.0,492.0,4.0,1,3,460.0,4110.0,4,1,11
1450000.0,480.0,4.0,1,4,610.0,2320.0,4,1,24
1590000.0,750.0,4.0,1,4,601.0,2024.0,4,1,7
1280000.0,400.0,4.0,4,3,500.0,3840.0,4,1,13
1780000.0,500.0,4.0,3,4,600.0,5340.0,4,1,16
2490000.0,332.0,4.0,4,4,601.0,7470.0,4,1,19
950000.0,160.0,4.0,1,2,650.0,2850.0,4,1,6
980000.0,400.0,7.0,4,3,505.0,2940.0,4,1,9
2100000.0,600.0,4.0,4,6,550.0,6300.0,4,1,23
1495000.0,700.0,4.0,1,3,460.0,4485.0,4,1,8
650000.0,180.0,5.0,2,0,800.0,1950.0,4,1,8
3590000.0,603.06,5.0,4,2,1881.0,3014.0,4,1,22
830000.0,240.0,5.0,0,4,580.0,2490.0,4,1,5
973000.0,385.0,4.0,3,3,600.0,1618.0,4,1,6
1300000.0,510.0,4.0,4,4,854.0,3900.0,4,1,2
1300000.0,400.0,4.0,4,4,835.0,3900.0,4,1,16
898000.0,380.0,4.0,3,4,668.0,2694.0,4,1,18
1390000.0,400.0,5.0,3,3,680.0,4170.0,4,1,5
800000.0,280.0,5.0,2,0,450.0,2400.0,4,1,12
820000.0,389.0,5.0,2,2,757.0,2460.0,4,1,5
1000000.0,220.0,4.0,1,2,757.0,1149.0,4,1,5
797000.0,178.0,5.0,2,2,450.0,600.0,4,1,4
650000.0,420.0,7.0,2,5,835.0,3000.0,4,1,18
999000.0,320.0,4.0,1,4,750.0,1300.0,4,1,17
950000.0,430.0,4.0,3,3,735.0,1632.0,4,1,3
2400000.0,400.0,4.0,4,2,777.0,1780.0,4,1,24
1350000.0,280.0,4.0,4,2,777.0,900.0,4,1,22
1990000.0,570.0,4.0,3,8,670.0,5970.0,4,1,11
1250000.0,350.0,4.0,1,2,750.0,3750.0,4,1,7
800000.0,300.0,4.0,3,10,688.0,2400.0,4,1,10
1549000.0,500.0,5.0,2,2,919.0,4647.0,4,1,3
1560000.0,450.0,4.0,3,4,787.0,1614.0,4,1,20
3050000.0,350.0,4.0,4,2,1602.0,2161.0,4,1,4
2600000.0,350.0,4.0,3,0,1150.0,1400.0,4,1,2
2650000.0,460.0,4.0,3,2,720.0,7950.0,4,1,11
2350000.0,600.0,4.0,4,0,850.0,3483.0,4,1,9
1950000.0,420.0,4.0,1,4,800.0,2633.0,4,1,4
2350000.0,600.0,4.0,4,6,808.0,2500.0,4,1,23
2690000.0,460.0,4.0,3,6,550.0,8070.0,4,1,19
1500000.0,450.0,4.0,2,4,750.0,1850.0,4,1,21
800000.0,350.0,4.0,3,2,588.0,2400.0,4,1,14
780000.0,310.0,5.0,1,0,580.0,1434.0,4,1,0
1599000.0,370.0,4.0,4,4,880.0,4797.0,4,1,20
1240000.0,308.0,4.0,3,2,919.0,3720.0,4,1,2
950000.0,300.0,4.0,1,4,305.0,2850.0,4,1,12
1990000.0,330.0,4.0,4,2,877.0,1890.0,4,1,24
1990000.0,330.0,4.0,4,2,919.0,5970.0,4,1,10
1240000.0,320.0,4.0,3,0,1100.0,450.0,4,1,9
1890000.0,394.49,4.0,4,4,1329.0,213.0,4,1,36
1690000.0,427.0,5.0,3,2,919.0,5070.0,4,1,2
1890000.0,394.0,5.0,4,4,919.0,5670.0,4,1,7
2100000.0,320.0,4.0,4,0,1100.0,1570.0,4,1,12
1890000.0,394.0,4.0,4,4,1300.0,450.0,4,1,7
1680000.0,431.0,5.0,5,4,1100.0,350.0,4,1,11
2400000.0,650.0,5.0,4,0,1180.0,1900.0,4,1,12
3500000.0,438.0,4.0,4,4,1020.0,10500.0,4,1,6
1695000.0,350.9,4.0,3,3,1020.0,5085.0,4,1,6
1790000.0,443.0,4.0,2,2,919.0,5370.0,4,1,7
2000000.0,400.0,4.0,4,4,950.0,1659.0,4,1,12
1850000.0,457.0,5.0,5,2,919.0,5550.0,4,1,5
1350000.0,300.0,4.0,3,2,877.0,1890.0,4,1,21
1890000.0,393.0,4.0,3,2,919.0,5670.0,4,1,6
2500000.0,310.0,4.0,3,3,919.0,7500.0,4,1,10
1750000.0,365.0,5.0,3,2,919.0,5250.0,4,1,5
998000.0,420.0,4.0,4,2,919.0,2994.0,4,1,6
1780000.0,358.0,4.0,3,3,919.0,5340.0,4,1,9
2400000.0,400.0,4.0,4,2,919.0,7200.0,4,1,7
1400000.0,360.0,4.0,4,2,919.0,4200.0,4,1,6
1350000.0,300.0,4.0,3,2,919.0,4050.0,4,1,6
2100000.0,360.0,4.0,3,4,750.0,191.0,4,1,23
1400000.0,370.0,4.0,3,2,1085.0,4200.0,4,1,5
2500000.0,350.0,4.0,3,0,919.0,7500.0,4,1,11
1250000.0,230.0,4.0,2,3,1100.0,3750.0,4,1,11
1350000.0,214.0,4.0,4,1,650.0,4050.0,4,1,9
1060000.0,400.0,4.0,3,4,685.0,3180.0,4,1,0
1550000.0,365.0,4.0,2,4,600.0,1800.0,4,1,0
3800000.0,600.0,5.0,5,4,600.0,11400.0,4,1,8
2850000.0,600.0,4.0,4,4,900.0,2500.0,4,1,27
2750000.0,400.0,4.0,3,6,800.0,2500.0,4,1,25
2490000.0,500.0,4.0,3,4,800.0,3370.0,4,1,20
2500000.0,450.0,6.0,4,2,950.0,7500.0,4,1,3
1400000.0,250.0,4.0,1,8,850.0,4200.0,4,1,18
